Ω The vintage OMEGA database Ω The vintage OMEGA database Ω The vintage OMEGA database Ω The vintage OMEGA database Ω The vintage OMEGA database Ω The vintage OMEGA database Ω,,,,,,,,,,,
Case reference,Product line,Case manufactured in,Description,Calendar,Calibre,First year of production,Case type,Case material,Dial,Strap/bracelet,Catalogue reference No
KO 14393,Constellation,Switzerland,Calendar,Yes,561,1960,Lyre-shaped lugs,Gold cap on stainless steel,Silvered with applied gold hour-markers with enamel,Leather,7017
CK 14393,Constellation,Switzerland,Calendar,Yes,561,1960,Lyre-shaped lugs,Stainless steel,Silvered with applied luminous gold hour-markers,Leather,7019
OT 18782,Constellation,Switzerland,Calendar Grand Luxe Special,Yes,561,1960,Hooded lugs,18K solid gold with 18 diamonds,Gold,18K gold,
OT 14394,Constellation,Switzerland,De Luxe,Yes,561,1961,Lyre-shaped lugs,18K solid gold,Gold,Leather,
OT 14398,Constellation,Switzerland,Grand Luxe,Yes,561,1961,Hooded lugs,18k solid gold,,,
BA 168.006,Constellation,Switzerland,Calendar Deluxe,Yes,561,1962,Dog leg lugs,Solid yellow gold,"Pie pan, domed",,
BB 168.006,Constellation,Switzerland,Calendar Deluxe,Yes,561,1962,Dog leg lugs,Solid pink gold,"Pie pan, domed",,
BA/BB 168.014,Constellation,Switzerland,Calendar De Luxe,Yes,561,1962,Hidden crown,Both in solid yellow/solid pink gold,"Domed, gold",,
CD/ST 168.001,Constellation,Switzerland,Asian Market 37mm case,Yes,561,1962,Lyre-shaped lugs,Stainless steel and gold cap,Domed,,
168.002,Constellation,Switzerland,Grand Luxe 34mm round,Yes,561,1963,Hooded lugs,18K gold,18K gold,18K gold,BA 368.802
168.5004,Constellation,England,Chronometer,Yes,561,1962,Hidden crown,18K solid gold,"Domed, two tone",,
168.5415,Constellation,England,Chronometer,Yes,561,,Lyre-shaped lugs,18K gold,Gold,,
168.015,Constellation,Switzerland,"Monocoque, Calendar Deluxe",Yes,564,1966,Monocoque,18 Solid gold,Gold,,BA 168.036
168.015,Constellation,Switzerland,Monocoque,Yes,564,1966,Monocoque,Various,,,
168.027,Constellation,Switzerland,"""C"" with knurled bezel",Yes,564,1966,C-shaped,Full range of metal cases,Sparkle,,
168.018,Constellation,Switzerland,Replacement for 168.010,Yes,564,1967,Hidden crown,18k solid gold,,,BA 168.018
168.018,Constellation,Switzerland,Replacement for 168.010,Yes,564,1967,Hidden crown,Various,,,
168.015,Constellation,Switzerland,Monocoque case with flat dial,Yes,564,1967,Monocoque,Various,,,
168.025,Constellation,Switzerland,Monocoque case with pie pan dial,Yes,564,1967,Monocoque,Range of metal cases,Pie pan,Leather,
168.039,Constellation,Switzerland,"""C""",Yes,564,1971,C-shaped,Stainless steel and other metals,,,
168.5416,Constellation,England,Chronometer,Yes,564,,Dog leg lugs,18K solid gold,,18K gold,
368.5009,Constellation,England,Chronometer,Yes,564,1967,C-shaped,18K gold,Sparkle,18K gold,
168.5417,Constellation,England,Chronometer,Yes,564,,Lyre-shaped lugs,18K gold,Gold,,
168.9005,Constellation,Brazil,Chronometer,Yes,564,,Dog leg lugs,18K gold,Pie pan,,
168.0047,Constellation,Switzerland,"TV shaped, integrated bracelet model",Yes,672,1969,TV shaped,Solid yellow gold,,"18K gold, integrated",BA 767.0803
,Constellation,Switzerland,Barrel round,Yes,681,1970,Barrel round,Solid yellow gold,,,BA 768.0803
ST 568.001,Constellation,Switzerland,"""C"" Ladies",Yes,682,1966,C-shaped,Stainless steel,,,
ST 768.0806,Constellation,Switzerland,Ladies bracelet,Yes,685,1972,,Stainless steel,,,
BA 311.090,Constellation,Switzerland,"Limited Edition 12,500 pieces - hand wind",No,700,1966,,Solid yellow gold soldered brclt,,,
BA 111.099,Constellation,Switzerland,"Limited Edition 12,500 pieces - hand wind",No,700,1968,,Solid yellow gold(on leather strap),,,
BA 311.108,Constellation,Switzerland,"Limited Edition 12,500 pieces - hand wind",No,700,1968,,Solid yellow gold,,,
BC 111.091,Constellation,Switzerland,"Limited Edition 12,500 pieces - hand wind",No,700,1968,,Solid white gold,,,
BA 711.5758,Constellation,Switzerland,"Swiss Collection, 12500 pieces - hand wind",No,700,1969,,Solid yellow gold,,,
BC 311.4147,Constellation,Switzerland,Extraflat - hand wind,No,700,1970,,Solid white gold,,,
BA 711.1729,Constellation,Switzerland,"Limited Edition 12,500 pieces - hand wind",No,700,1971,,Solid yellow gold,,,
BC 711.1723,Constellation,Switzerland,"Limited Edition 12,500 pieces - hand wind",No,700,1972,,Solid white gold and bracelet,,,
BC 711.1814,Constellation,Switzerland,"Ltd Ed. 2 piece case, amethyst crystal,  guilloche bezel
“Emeralde” - hand wind",No,700,1973,,18k gold with woven wire bracelet,,,
BA 711.1858,Constellation,Switzerland,"Ltd Ed. 2 piece case. Rectangular. Guilloche bezel
quartz crystal “Emeralde” - hand wind",No,700,1973,,18k gold with woven wire bracelet,,,
BA 155.013,Constellation,Switzerland,"Barrel shaped case, large bevels, with strap",No,711,1973,Barrel round,18k gold,,,
BA/BC 351.0013,Constellation,Switzerland,Some COSC “Haute de Forme”,No,711,1974,,Solid yellow or white gold,,,
BA 351.0064,Constellation,Switzerland,Designer: Filigre bezel and bracelet,No,711,1974,,18k gold,,,
BA 351.8656,Constellation,Switzerland,‘Millet et UNe Nuits’ Collection (with cufflinks and ring),No,711,1976,,18k Gold,,,
BA 351.8657,Constellation,Switzerland,‘Millet et Une Nuits’ collection (with cufflinks and ring),No,711,1976,,18k gold,,,
ST 355.0815,Constellation,Switzerland,"Barrel , rectangular dial.",No,711,1974,"Barrel, rectangular",Stainless steel,,,
BA/BC 351.8359 H,Constellation,Switzerland,Design: with chunky 18 bracelet,No,711,1975,,Solid yellow or white gold,,,
ST 355.0809,Constellation,Switzerland,"s-sided dial, hidden lugs,bracelet",No,711,1974,,Stainless steel,,,
ST 155.0015,Constellation,Switzerland,6 sided dial – hidden lugs,No,711,1974,,"Stainless steel, Omega fastener",,,
351.8294,Constellation,Switzerland,"Square dial, integrated",No,711,1974,,Brushed case in 18k /other metals,,,
ST DD 355.0814,Constellation,Switzerland,"Square dial, integrated bracelet",No,711,1975,,Stainless steel,,,
155.021,Constellation,Switzerland,"Square dial, integrated bracelet",No,711,1975,,SS and 14k gold Omega fastener,,,
355.0815/155.0022,Constellation,Switzerland,Barrel shaped integrated bracelet,No,711,1976,Barrel round,Stainless steel,,,
167.021,Constellation,Switzerland,Replacement for 167.005,No,712,1966,,Range of metal cases,,,
BA 153.014,Constellation,Switzerland,Tonneau,No,712,1967,Tonneau,Solid yellow gold,,,
ST 153.014,Constellation,Switzerland,Tonneau,No,712,1967,Tonneau,Stainless Steel,,,
163.001,Constellation,Switzerland,34mm round case,No,712,1967,,"Yellow, pink and white gold and SS",,,
163.002,Constellation,Switzerland,"Rounded case, small lugs",No,712,1967,,Gold,,,
153.0025,Constellation,Switzerland,Tonneau,No,712,1967,Tonneau,,,,
BA 153.0035,Constellation,Switzerland,Long square with angled corners,No,712,1971,,18k,,,
BA 152.0039,Constellation,Switzerland,Round solid gold dial in some examples,No,712,1972,,18k Gold,,,
BA 153.0040,Constellation,Switzerland,Superflat rounded square,No,712,1972,,18k solid gold,,,
BA/ST 157.0001,Constellation,Switzerland,34.5mm round,No,712,1972,,Solid gold and stainless steel,,,
153.0042,Constellation,Switzerland,Rectangular with triangle lugs,No,712,1973,,Gold and various metals,,,
151.0032,Constellation,Switzerland,Cushion on leather,No,712,1973,,Gold,,,
BA 157.0003,Constellation,Switzerland,Special cambered case ceramic,No,712,1973,,18k gold with ceramic cover,,,
353.0016,Constellation,Switzerland,Square small dial in wide bracelet,No,712,1973,,18 k gold,,,
353.0019,Constellation,Switzerland,"Rectangular, int. Brct with tapestry guilloche dial",No,712,1973,,18k gold various,,,
BA/BC 353.0020,Constellation,Switzerland,"Rectangular, int. Brct with tapestry guilloche dial",No,712,1973,,Solid yellow or white gold,,,
353.0021,Constellation,Switzerland,Horiz rounded rectangular dial integrated brclt,No,712,1973,,Solid yellow or white gold,,,
BA 353.0010,Constellation,Switzerland,Rectangular with gold mesh brclt,No,712,1974,,18k gold,,,
BA 351.7255,Constellation,Switzerland,Round with integrated bracelet,No,712,1974,,18k gold,,,
BC 353.013,Constellation,Switzerland,Ultra flat Milanese bracelet,No,712,1974,,18k gold,,,
ST 357.0800,Constellation,Switzerland,Integrated bracelet,No,712,1976,,Stainless steel,,,
Watch head 8319,Constellation,Switzerland,Tonneau with integrated bracelet,No,712,1976,"Tonneau, integrated",18k gold,,,
BA/DB 566.1201,Constellation,Switzerland,Mechanical - special,Yes,725,1997,,18k SG or SS with solid gold bezel,,,
168.045,Constellation,Switzerland,"Chronometer, day",Yes,751,,Barrel round,"Various, integrated",,"Various, integrated",
168.016,Constellation,Switzerland,[Not specified],Yes,751,1966,,Full range of metal cases,,,
BA 168.019,Constellation,Switzerland,"""C""",Yes,751,1966,C-shaped,full range of metal cases,,,
ST 168.019,Constellation,Switzerland,"""C""",Yes,751,1966,C-shaped,Full range of metal cases,,,
CD 168.029,Constellation,Switzerland,"""C""",Yes,751,1967,C-shaped,Gold-cap on stainless steel,,,
ST 168.029,Constellation,Switzerland,"""C"" Knurled bezel",Yes,751,1967,C-shaped,Full range of metal cases,,,
BA 368.0845,Constellation,Switzerland,Integrated with Knurled bezel,Yes,751,1969,,18k solid yellow gold,,,
ST 368.0845,Constellation,Switzerland,C with knurled bezel,Yes,751,1969,C-shaped,Stainless steel,,,
ST/DD 168.0041,Constellation,Switzerland,"Chronometer, day",Yes,751,1970,Tonneau with a round dial,SS - white or yellow gold bezel,,,
168.0047,Constellation,Switzerland,"TV shaped, integrated bracelet model",Yes,752,1978,TV shaped,18K gold integrated,,"18K gold, integrated",368.4115
168.0047,Constellation,Switzerland,"TV shaped, integrated bracelet model",Yes,752,1978,TV shaped,Stainless steel integrated,,"Stainless steel, integrated",ST 366.0847
166.0252,Constellation,Switzerland,Barrel round - non COSC,Yes,752,1978,Barrel round,Stainless steel integrated,,,ST 366.0857
168.033,Constellation,Switzerland,"Automatic, chronometer",Yes,1001,1969,Lyre-shaped lugs,Various,Silvered,,
166.055 = 165.046,Constellation,Switzerland,"Barrel round, chronometer",Yes,1001,,Barrel round,"Various, integrated",,"Various, integrated",
BA/ST 168.0042,Constellation,Switzerland,Chronometer,Yes,1001,1969,H-tonneau with a round dial,Solid yellow gold and SS cases,,,
168.0059,Constellation,Switzerland,"TV shaped, integrated bracelet model",Yes,1001,1969,,Range of metal cases,,,366.0819
BA 368.0846,Constellation,Switzerland,Integrated bracelet model case 168.0046,Yes,1001,1969,,SS & Solid 18k gold,,,
168.0047,Constellation,Switzerland,"TV shaped case, integrated bracelet model",Yes,1001,1969,TV shaped,"Solid gold, plated, & SS",,"Various, integrated",368.0847
168.0047,Constellation,Switzerland,TV shaped case. With or without integrated bracelet,Yes,1001,1969,TV shaped,All metals,,,
ST 168.0033,Constellation,Switzerland,33.1 mm round case 19mm lug size,Yes,1001,1968,,SS and 18K solid yellow or pink gold,,,
BA 168.0053,Constellation,Switzerland,Press-in case back,Yes,1001,1970,,Solid yellow gold,,,
168.0044,Constellation,Switzerland,Tonneau,Yes,1001,1970,Tonneau with a squared dial,Stainless steel or 22k gold plate,,,
BA/ST 368.0847,Constellation,Switzerland,Integrated bracelet model,Yes,1001,1969,,"Solid gold, plated, & SS",,,
BA/DD/ST 368.0852,Constellation,Switzerland,Integrated bracelet,Yes,1011,1972,,"Solid yellow gold, SS or Steel/14k",,,
BA/DA/ST 168.0055/368.0850,Constellation,Switzerland,Round case integrated bracelet,Yes,1011,1972,,"18k gold, 14k or SS",,,
CD/ST 168.0056,Constellation,Switzerland,"""C""",Yes,1011,1972,C-shaped,Gold cap or stainless steel,,,
CD/ST 168.0058,Constellation,Switzerland,Tonneau,Yes,1011,1972,Tonneau with a squared dial,Gold cap or stainless steel,,,
DD 368.0855,Constellation,Switzerland,Octagonal,Yes,1011,1974,Octagonal,Stainless steel with solid gold bezel,,,
ST 168.0065,Constellation,Switzerland,Special Piepan type,Yes,1011,1974,,Stainless steel,,,
BA/ST 368.0855,Constellation,Switzerland,Octagonal,Yes,1011,1974,Octagonal,Solid gold or stainless steel,,,
PN 166.0228,Constellation,Switzerland,Non COSC,Yes,1012,1977,,"Gold-plated, SS case back",,,
166.0234,Constellation,Switzerland,Non COSC  Octagonal case (with bracelet),Yes,1012,1975,,SS and gold plate,,,
166.022,Constellation,Switzerland,Non- COSC TV style,Yes,1012,1975,TV shaped,Gold plate & SS,,,
198.006,Constellation,Switzerland,Non COSC,Yes,1012,1978,,Various Metals.,,,
BA 366.0859,Constellation,Switzerland,Non COSC  Integrated Brclt,Yes,1020,1978,,Solid yellow gold,,,
166.0219,Constellation,Switzerland,Non COSC Octagonal with bracelet. Rounded coin edge dial,Yes,1020,1978 approx,Octagonal,Gold plate & also SS,,,
CD 166.0247,Constellation,Switzerland,"""C"" Non COSC",Yes,1020,1978,,Gold-cap on stainless steel,,,
166.0261,Constellation,Switzerland,"Rounded, coin edge bezel, integ bracelet Non COSC",Yes,1020,1977 approx,,Two tone SS & gold,,,
BA/ST 368.0851,Constellation,Switzerland,"Barrel round dial integ bracelet, day",Yes,1021,1972,Barrel round,Solid yellow gold or stainless steel,,,
BA/CD/ST 168.0057,Constellation,Switzerland,"""C"" knurled bezel, day",Yes,1021,1972,C-shaped,"Solid gold, gold cap or SS",,,
BA/DD/GD 368.0854,Constellation,Switzerland,"Roounded square integrated Brc, day",Yes,1021,1973,,"Solid gold, SS & 14k or gold filled",,,
BA 168.0063,Constellation,Switzerland,"TV shape case, day",Yes,1021,1974,TV shaped,18k solid gold,,,
ST 168.0063,Constellation,Switzerland,"TV shape case, day",Yes,1021,1974,TV shaped,Stainless steel,,,
ST 368.0858,Constellation,Switzerland,"TV shape case, day",Yes,1021,1974,TV shaped,Stainless steel with bracet,,,
166.219,Constellation,Switzerland,"Octagonal case – Non COSC, day",Yes,1022,1975,,Gold Plate,,,
DD 368.0865,Constellation,Switzerland,Manhattan (Later repl 368.0875),Yes,1111,1984,Manhattan,Stainless steel/gold,,,
ST 368.0865,Constellation,Switzerland,Manhattan,Yes,1111,1984,Manhattan,"Stainless steel, integrated bracelet",,,
1102,Constellation,Switzerland,COSC,Yes,1120,1995,,Solid yellow gold,,,
1920.18.00,Constellation,Switzerland,Certified Chronometre,Yes,1120,1995,,Solid gold,,,
BA/ST 398.0820,Constellation,Switzerland,Megasonic Barrel,No,1203,1973,,Solid gold or stainless steel,,,
ST 398.0820,Constellation,Switzerland,Manhattan,No,1203,1983,Manhattan,Stainless steel,,,
ST 398.0829,Constellation,Switzerland,"Octagonal integrated bracelet, day",Yes,1230,1973,Octagonal,Stainless steel,,,
BA 198.0003,Constellation,Switzerland,Electronic,Yes,1250,1970,,Solid yellow gold,,,
BA 196.0015,Constellation,Switzerland,Day,Yes,1310,1973,,Gold on leather,,,
BA/ST 396.0811,Constellation,Switzerland,"[Not specified], day",Yes,1310,1973,,Solid yellow gold or stainless steel,,,
DD 396.0810,Constellation,Switzerland,"Megaquartz, day",Yes,1310,1973,,Stainless steel with solid gold bezel,,,
BA/ST 396.0809,Constellation,Switzerland,"[Not specified], day",Yes,1310,1973,,18k solid gold or stainless steel,,,
MD/ND/ST 396.0822,Constellation,Switzerland,electro quartz,Yes,1310,1974,,Stainless steel or gold plated,,,
BA 391.8605,Constellation,Switzerland,"Octagonal, faceted bezel",No,1330,1974,Octagonal,Solid yellow gold,,,
ST 391.0011,Constellation,Switzerland,[Not specified],No,1330,1976,,Stainless steel,,,
BA/BC 391.8649,Constellation,Switzerland,Soldered bracelet,No,1330,1977,,Solid yellow or white gold,,,
BA/JD/ST 196.0138,Constellation,Switzerland,34mm round case,Yes,1332,1979,,"Solid yellow gold, Gold plate & SS",,,
BA/JD/ST 198.0126,Constellation,Switzerland,[Not specified],Yes,1333,1980,,"Solid gold, SS, or gold filled",,,
BA/BC 398.8950,Constellation,Switzerland,Octagonal diamond bezel,Yes,1343,1977,Octagonal,Solid yellow or white gold,,,
MD 196.0071,Constellation,Switzerland,Round case made for US market,Yes,1343,1977,,Gold-plated,,,
BA/DD 198.0114,Constellation,Switzerland,Octagonal,Yes,1343,1978,Octagonal,Solid yellow gold or 14k and SS,,,
DD/ST 398.0852,Constellation,Switzerland,Octagonal,Yes,1343,1978,Octagonal,Stainless steel,,,
6171 RB,Constellation,United States,US made C case knurled bezel,,1348,1979,C-shaped,Gold-filled,,,
BA/ST 591.0002,Constellation,Switzerland,Oval octagonal,No,1350,1977,Oval octagonal,Solid gold or stainless steel,,,
ST 591.0004,Constellation,Switzerland,Square case,No,1353,1977,,Stainless steel,,,
ST 595.0006,Constellation,Switzerland,Ladies,No,1353,1978,,Stainless steel,,,
DD 795.0828,Constellation,Switzerland,Manhattan,No,1375,1982,Manhattan,Stainless steel with solid gold bezel,,,
DD/ST 796.0824,Constellation,Switzerland,Marine,Yes,1380,1981,,Stainless steel or SS and gold,,,
DA 795.0816,Constellation,Switzerland,Torsade,No,1387,1980,,Stainless steel with solid gold bezel,,,
DD/DS 398.0820,Constellation,Switzerland,Manhattan 5600 units,No,1418,1973,Manhattan,SS with yellow or pink gold bezel,,,
DD 397.0801,Constellation,Switzerland,Manhattan 5600 units,No,1418,1981,Manhattan,Stainless steel with solid gold bezel,,,
DD/DS 398.0820,Constellation,Switzerland,Manhattan,No,1418,1983,Manhattan,SS and 14k gold (yellow or pink),,,
BA 398.0864,Constellation,Switzerland,Manhattan,Yes,1422,1982,Manhattan,Solid yellow gold,,,
BJ 498.0001,Constellation,Switzerland,Manhattan (285 diamonds),Yes,1422,1983,Manhattan,"Solid yellow, white and pink gold",,,
DE 796.1180,Constellation,Switzerland,Quartz,Yes,1424,1994,,SS with sg bezel,,,
DR/ST 396.1076,Constellation,Switzerland,Integrated bracelet,Yes,1430,1986,,SS with gold bezel or SS,,,
BA/DA/DD 398.0866,Constellation,Switzerland,Manhattan (optional diamonds),Yes,1431,1983,Manhattan,"Solid gold, SS & 18k or SS & 14k",,,
BA 498.0017,Constellation,Switzerland,Round case,Yes,1431,1983,,Solid yellow gold,,,
DD 398.0867,Constellation,Switzerland,Manhattan,Yes,1431,1983,Manhattan,Stainless steel with solid gold bezel,,,
BA 398.0867,Constellation,Switzerland,Manhattan,Yes,1431,,Manhattan,Solid Gold,,,
ST 398.0867,Constellation,Switzerland,Manhattan,Yes,1431,1983,Manhattan,Stainless steel,,,
BA 498.0021,Constellation,Switzerland,Diamond Dial 247 diamonds,Yes,1431,1984,,Solid yellow gold diamond bezel,,,
DD/DS/ST 398.0876,Constellation,Switzerland,Manhattan,Yes,1431,1985,Manhattan,"SS, SS & 14k, or SS 18k pink gold",,,
396.1069,Constellation,Switzerland,"Quartz, day",Yes,1444,1987,,"18k solid, SS with solid bezel, or SS",,,
296.1070.100,Constellation,Switzerland,"Quartz, day",Yes,1444,1992,,Range of case options,,,
BA 396.1071,Constellation,Switzerland,"Day-date, roman num. bezel, day",Yes,1445,1987,,Solid yellow gold,,,
BJ 895.0011,Constellation,Switzerland,Diamond dial 160 diamonds,No,1450,1984,,Gold with diamonds,,,
BA 795.0872,Constellation,Switzerland,Diamond dial optional,No,1455,1986,,Solid yellow gold,,,
BA 695.1080,Constellation,Switzerland,Quartz 34 diamond bezel,No,1455,1987,,Solid yellow gold,,,
795.108,Constellation,Switzerland,Quartz,No,1455,1987,,Range of SS with SG bezel options,,,
795.108,Constellation,Switzerland,Quartz,No,1455,1987,,Range of case and bracelet options,,,
1267 -,Constellation,Switzerland,Exclusive Omega Mvt,No,1456,1996,,18k ans SS diamond bezel,,,
1262.75.00 -,Constellation,Switzerland,Quartz MO Pearl dial,No,1456,1997,,Stainless steel with solid gold bezel,,,
1465.71.00,Constellation,Switzerland,My Choice - Quartz,No,1456,1998,My Choice,Stainless steel,,,
1161.81.00,Constellation,Switzerland,My choice - Quartz,No,1456,1999,My Choice,Solid yellow gold,,,
1165,Constellation,Switzerland,Ladies' Mini Quartz,No,1456,2003,,Solid white gold,,,
1312,Constellation,Switzerland,Quartz,,1532,1996,,Stainless steel with solid gold bezel,,,
1512,Constellation,Switzerland,Quartz,,1532,1996,,Stainless steel,,,
ST 396.0832,Constellation,Switzerland,Time Computer II,,1601,1973,,Stainless steel,,,
GD/GF 396.0831,Constellation,Switzerland,Time Computer II 15000 units,,1601,1974,,Yellow or white gold-filled,,,
1552.3,Constellation,Switzerland,Quartz,Yes,1680,1997,,Stainless steel,,,
CD 166.063,Constellation,Switzerland,"""tonneau"" (35,7 X 35,8 mm)",Yes,1000 /1001/1002,1969,,Gold cap on stainless steel,,,
166.052,Constellation,Switzerland,Chronometer,Yes,1000 /1001/1002,1969,Lyre-shaped lugs,"18K gold, stainless steel","Gold, silvered",,
166.0052,Constellation,Switzerland,[Not specified],Yes,1000 /1002,1969,,Range of metal cases,,,
166.0056,Constellation,Switzerland,Chronometer,Yes,1000 /1002  NON COSC,1969,C-shaped,"18K gold, stainless steel","Gold, silvered",,
BA 168.0075,Constellation,Switzerland,Date Chronometre,Yes,1109 / 1111,1991,,18k solid gold,,,
368.1075,Constellation,Switzerland,[Not specified],Yes,1109 /1111,1987,,Full range of metal cases,,,
368.1075,Constellation,Switzerland,[Not specified],Yes,1109 /1111,1987,,"18k solid, SS with solid bezel or SS",,,
368.1075,Constellation,Switzerland,[Not specified],Yes,1109 /1111,1987,,Range of case options,,,
DB 168.0075,Constellation,Switzerland,Date Chronometre,Yes,1109 /1111,1991,,Steel/gold on leather,,,
ST 168.0075,Constellation,Switzerland,Date Chronometrre,Yes,1109 /1111,1991,,Stainless steel on leather,,,
BA/ST 398.0819,Constellation,Switzerland,Electronic,,1220  720 Hz,1973,,Stainless steel,,,
BA 398.0008,Constellation,Switzerland,Electronic,,1250  f300,1970,,Solid yellow gold,,,
